participant_id,cluster_id,occupation,day_surveyed,frequency_of_interaction,relationship,contact_type,total_time_contact,agecat_contact,agecat_participant,number_casual_contacts,distance_from_home,Rural
25,7,pre-school child,Tuesday,Daily or almost daily,Other relative,Physical,>4h,10-14y olds,<2y olds,0-9,0,Yes
25,7,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,<2y olds,0-9,0,Yes
25,7,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,25-34y olds,<2y olds,0-9,0,Yes
25,7,pre-school child,Tuesday,Daily or almost daily,Household member,Physical,>4h,<2y olds,<2y olds,0-9,0,Yes
25,7,pre-school child,Tuesday,Daily or almost daily,Other relative,Physical,>4h,5-9y olds,<2y olds,0-9,0,Yes
25,7,pre-school child,Tuesday,Daily or almost daily,Other relative,Physical,>4h,10-14y olds,<2y olds,0-9,0,Yes
25,7,pre-school child,Tuesday,Daily or almost daily,Other relative,Physical,>4h,35-44y olds,<2y olds,0-9,0,Yes
30,7,agriculture,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,45-54Y olds,0-9,0,Yes
30,7,agriculture,Tuesday,Daily or almost daily,Other relative,Nonphysical,2h - <4h,65+y olds,45-54Y olds,0-9,0,Yes
30,7,agriculture,Tuesday,Daily or almost daily,Household member,Physical,>4h,15-24y olds,45-54Y olds,0-9,0,Yes
30,7,agriculture,Tuesday,At least once a week,Other relative,Nonphysical,2h - <4h,65+y olds,45-54Y olds,0-9,3.7,Yes
30,7,agriculture,Tuesday,Less than once a month,Other relative,Physical,>4h,45-54Y olds,45-54Y olds,0-9,0,Yes
30,7,agriculture,Tuesday,At least once a week,Other relative,Nonphysical,2h - <4h,65+y olds,45-54Y olds,0-9,3.7,Yes
102,1,agriculture,Tuesday,Daily or almost daily,Other relative,Nonphysical,>4h,15-24y olds,35-44y olds,20 - 29,0,No
102,1,agriculture,Tuesday,Daily or almost daily,Other relative,Nonphysical,>4h,15-24y olds,35-44y olds,20 - 29,0,No
102,1,agriculture,Tuesday,Daily or almost daily,Other relative,Nonphysical,>4h,15-24y olds,35-44y olds,20 - 29,0,No
102,1,agriculture,Tuesday,Daily or almost daily,Other relative,Nonphysical,>4h,25-34y olds,35-44y olds,20 - 29,0,No
102,1,agriculture,Tuesday,Daily or almost daily,Other,Nonphysical,>4h,35-44y olds,35-44y olds,20 - 29,0,No
102,1,agriculture,Tuesday,At least once a month,Other,Nonphysical,>4h,35-44y olds,35-44y olds,20 - 29,0,No
102,1,agriculture,Tuesday,Daily or almost daily,Household member,Physical,>4h,35-44y olds,35-44y olds,20 - 29,0,No
